,Date and Hour,Production,Production_simulate,Production_simulate_half
0,2020-01-01 00:00:00+01:00,3549.0,354.9,177.45
1,2020-01-01 01:00:00+01:00,2952.0,295.2,147.6
2,2020-01-01 02:00:00+01:00,2722.0,272.2,136.1
3,2020-01-01 03:00:00+01:00,2753.0,275.3,137.65
4,2020-01-01 04:00:00+01:00,2707.0,270.7,135.35
5,2020-01-01 05:00:00+01:00,2579.0,257.9,128.95
6,2020-01-01 06:00:00+01:00,2320.0,232.0,116.0
7,2020-01-01 07:00:00+01:00,2064.0,206.4,103.2
8,2020-01-01 08:00:00+01:00,1831.0,183.1,91.55
9,2020-01-01 09:00:00+01:00,1933.0,193.3,96.65
10,2020-01-01 10:00:00+01:00,2285.0,228.5,114.25
11,2020-01-01 11:00:00+01:00,2603.0,260.3,130.15
12,2020-01-01 12:00:00+01:00,2537.0,253.7,126.85
13,2020-01-01 13:00:00+01:00,2196.0,219.6,109.8
14,2020-01-01 14:00:00+01:00,1804.0,180.4,90.2
15,2020-01-01 15:00:00+01:00,1355.0,135.5,67.75
16,2020-01-01 16:00:00+01:00,1017.0,101.7,50.85
17,2020-01-01 17:00:00+01:00,948.0,94.8,47.4
18,2020-01-01 18:00:00+01:00,1075.0,107.5,53.75
19,2020-01-01 19:00:00+01:00,1180.0,118.0,59.0
20,2020-01-01 20:00:00+01:00,1263.0,126.3,63.15
21,2020-01-01 21:00:00+01:00,1227.0,122.7,61.35
22,2020-01-01 22:00:00+01:00,1169.0,116.9,58.45
23,2020-01-01 23:00:00+01:00,1184.0,118.4,59.2
24,2020-01-02 00:00:00+01:00,1262.0,126.2,63.1
25,2020-01-02 01:00:00+01:00,1375.0,137.5,68.75
26,2020-01-02 02:00:00+01:00,1439.0,143.9,71.95
27,2020-01-02 03:00:00+01:00,1561.0,156.1,78.05
28,2020-01-02 04:00:00+01:00,1608.0,160.8,80.4
29,2020-01-02 05:00:00+01:00,1769.0,176.9,88.45
30,2020-01-02 06:00:00+01:00,1898.0,189.8,94.9
31,2020-01-02 07:00:00+01:00,2087.0,208.7,104.35
32,2020-01-02 08:00:00+01:00,2264.0,226.4,113.2
33,2020-01-02 09:00:00+01:00,2779.0,277.9,138.95
34,2020-01-02 10:00:00+01:00,3456.0,345.6,172.8
35,2020-01-02 11:00:00+01:00,3841.0,384.1,192.05
36,2020-01-02 12:00:00+01:00,4166.0,416.6,208.3
37,2020-01-02 13:00:00+01:00,4147.0,414.7,207.35
38,2020-01-02 14:00:00+01:00,4148.0,414.8,207.4
39,2020-01-02 15:00:00+01:00,4097.0,409.7,204.85
40,2020-01-02 16:00:00+01:00,4302.0,430.2,215.1
41,2020-01-02 17:00:00+01:00,4734.0,473.4,236.7
42,2020-01-02 18:00:00+01:00,5324.0,532.4,266.2
43,2020-01-02 19:00:00+01:00,5975.0,597.5,298.75
44,2020-01-02 20:00:00+01:00,6547.0,654.7,327.35
45,2020-01-02 21:00:00+01:00,6818.0,681.8,340.9
46,2020-01-02 22:00:00+01:00,6783.0,678.3,339.15
47,2020-01-02 23:00:00+01:00,6857.0,685.7,342.85
48,2020-01-03 00:00:00+01:00,7204.0,720.4,360.2
49,2020-01-03 01:00:00+01:00,7385.0,738.5,369.25
50,2020-01-03 02:00:00+01:00,7533.0,753.3,376.65
51,2020-01-03 03:00:00+01:00,7815.0,781.5,390.75
52,2020-01-03 04:00:00+01:00,8289.0,828.9,414.45
53,2020-01-03 05:00:00+01:00,8565.0,856.5,428.25
54,2020-01-03 06:00:00+01:00,8797.0,879.7,439.85
55,2020-01-03 07:00:00+01:00,9151.0,915.1,457.55
56,2020-01-03 08:00:00+01:00,9186.0,918.6,459.3
57,2020-01-03 09:00:00+01:00,8992.0,899.2,449.6
58,2020-01-03 10:00:00+01:00,9184.0,918.4,459.2
59,2020-01-03 11:00:00+01:00,9490.0,949.0,474.5
60,2020-01-03 12:00:00+01:00,9908.0,990.8,495.4
61,2020-01-03 13:00:00+01:00,9698.0,969.8,484.9
62,2020-01-03 14:00:00+01:00,8909.0,890.9,445.45
63,2020-01-03 15:00:00+01:00,7784.0,778.4,389.2
64,2020-01-03 16:00:00+01:00,6549.0,654.9,327.45
65,2020-01-03 17:00:00+01:00,6026.0,602.6,301.3
66,2020-01-03 18:00:00+01:00,5907.0,590.7,295.35
67,2020-01-03 19:00:00+01:00,5501.0,550.1,275.05
68,2020-01-03 20:00:00+01:00,4962.0,496.2,248.1
69,2020-01-03 21:00:00+01:00,4557.0,455.7,227.85
70,2020-01-03 22:00:00+01:00,4223.0,422.3,211.15
71,2020-01-03 23:00:00+01:00,3810.0,381.0,190.5
72,2020-01-04 00:00:00+01:00,3453.0,345.3,172.65
73,2020-01-04 01:00:00+01:00,3400.0,340.0,170.0
74,2020-01-04 02:00:00+01:00,3379.0,337.9,168.95
75,2020-01-04 03:00:00+01:00,3229.0,322.9,161.45
76,2020-01-04 04:00:00+01:00,3275.0,327.5,163.75
77,2020-01-04 05:00:00+01:00,3139.0,313.9,156.95
78,2020-01-04 06:00:00+01:00,3239.0,323.9,161.95
